decision_id,trainset_id,decision_date,decision,reason_summary,actual_outcome,remarks
D12025-09-25,1,25-09-2025,maintenance,Pending Job Card,delayed,OK
D22025-09-25,2,25-09-2025,standby,Operational Buffer,delayed,Override Applied
D32025-09-25,3,25-09-2025,inducted,Branding Commitment,success,OK
D42025-09-25,4,25-09-2025,inducted,Service Ready,success,Issue Noted
D52025-09-25,5,25-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D62025-09-25,6,25-09-2025,maintenance,Pending Job Card,withdrawn,Override Applied
D72025-09-25,7,25-09-2025,inducted,Service Ready,success,Issue Noted
D82025-09-25,8,25-09-2025,inducted,Mileage Balanced,success,Override Applied
D92025-09-25,9,25-09-2025,inducted,Mileage Balanced,delayed,Override Applied
D102025-09-25,10,25-09-2025,standby,Reserve Rake,success,Override Applied
D112025-09-25,11,25-09-2025,standby,Reserve Rake,delayed,Issue Noted
D122025-09-25,12,25-09-2025,inducted,Mileage Balanced,success,Override Applied
D132025-09-25,13,25-09-2025,inducted,Mileage Balanced,success,OK
D142025-09-25,14,25-09-2025,inducted,Branding Commitment,success,Override Applied
D152025-09-25,15,25-09-2025,inducted,Service Ready,delayed,Issue Noted
D162025-09-25,16,25-09-2025,maintenance,Fitness Certificate Expired,success,Issue Noted
D172025-09-25,17,25-09-2025,standby,Reserve Rake,success,Issue Noted
D182025-09-25,18,25-09-2025,maintenance,Scheduled Cleaning,delayed,OK
D192025-09-25,19,25-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D202025-09-25,20,25-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D212025-09-25,21,25-09-2025,inducted,Branding Commitment,success,OK
D222025-09-25,22,25-09-2025,maintenance,Scheduled Cleaning,success,Override Applied
D232025-09-25,23,25-09-2025,maintenance,Fitness Certificate Expired,success,OK
D242025-09-25,24,25-09-2025,maintenance,Scheduled Cleaning,delayed,Issue Noted
D252025-09-25,25,25-09-2025,standby,Operational Buffer,success,OK
D262025-09-25,26,25-09-2025,inducted,Service Ready,withdrawn,Override Applied
D272025-09-25,27,25-09-2025,maintenance,Scheduled Cleaning,delayed,Issue Noted
D282025-09-25,28,25-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D292025-09-25,29,25-09-2025,maintenance,Pending Job Card,success,OK
D302025-09-25,30,25-09-2025,inducted,Service Ready,withdrawn,OK
