record_id,trainset_id,rake_number,bogie_count,date,time_slot,station_name,in_time,out_time,passenger_capacity,passengers_boarded,passengers_alighted,occupancy_rate
1,1,R1000,3,23-09-2025,Morning Peak,Aluva,07:00,07:02,975,79,22,5.8
2,1,R1000,3,23-09-2025,Morning Peak,Pulinchodu,07:03,07:06,975,74,109,2.3
3,1,R1000,3,23-09-2025,Morning Peak,Companypady,07:08,07:09,975,112,80,5.5
4,1,R1000,3,23-09-2025,Morning Peak,Ambattukavu,07:14,07:17,975,176,14,22.2
5,1,R1000,3,23-09-2025,Morning Peak,Muttom,07:20,07:21,975,186,147,26.2
6,1,R1000,3,23-09-2025,Morning Peak,Kalamassery,07:24,07:27,975,178,80,36.2
7,1,R1000,3,23-09-2025,Morning Peak,Cochin University,07:27,07:28,975,53,111,30.3
8,1,R1000,3,23-09-2025,Morning Peak,Pathadipalam,07:32,07:34,975,51,34,32
9,1,R1000,3,23-09-2025,Morning Peak,Edapally,07:36,07:37,975,31,57,29.3
10,1,R1000,3,23-09-2025,Morning Peak,Changampuzha Park,07:42,07:45,975,87,84,29.6
11,1,R1000,3,23-09-2025,Morning Peak,Palarivattom,07:47,07:48,975,196,14,48.3
12,1,R1000,3,23-09-2025,Morning Peak,JLN Stadium,07:53,07:54,975,119,13,59.2
13,1,R1000,3,23-09-2025,Morning Peak,Kaloor,07:58,07:59,975,181,111,66.4
14,1,R1000,3,23-09-2025,Morning Peak,Town Hall,08:03,08:06,975,129,11,78.5
15,1,R1000,3,23-09-2025,Morning Peak,M.G Road,08:08,08:10,975,121,138,76.7
16,1,R1000,3,23-09-2025,Morning Peak,Maharaja's College,08:12,08:13,975,157,113,81.2
17,1,R1000,3,23-09-2025,Morning Peak,Emakulam South,08:17,08:19,975,81,86,80.7
18,1,R1000,3,23-09-2025,Morning Peak,Kadavanthra,08:21,08:24,975,162,125,84.5
19,1,R1000,3,23-09-2025,Morning Peak,Elamkulam,08:24,08:27,975,126,118,85.3
20,1,R1000,3,23-09-2025,Morning Peak,Vytila,08:27,08:28,975,194,86,96.4
21,1,R1000,3,23-09-2025,Morning Peak,Thaikoodam,08:33,08:36,975,181,110,100
22,1,R1000,3,23-09-2025,Morning Peak,Petta,08:37,08:40,975,196,49,100
23,1,R1000,3,23-09-2025,Morning Peak,Vadakkekotta,08:43,08:45,975,116,58,100
24,1,R1000,3,23-09-2025,Morning Peak,SN Junction,08:46,08:47,975,198,123,100
25,1,R1000,3,23-09-2025,Morning Peak,Tripunithura,08:50,08:53,975,174,58,100
26,1,R1000,3,23-09-2025,Midday,Aluva,10:00,10:02,975,26,24,0.2
27,1,R1000,3,23-09-2025,Midday,Pulinchodu,10:05,10:06,975,59,29,3.3
28,1,R1000,3,23-09-2025,Midday,Companypady,10:09,10:11,975,14,5,4.2
29,1,R1000,3,23-09-2025,Midday,Ambattukavu,10:15,10:18,975,32,33,4.1
30,1,R1000,3,23-09-2025,Midday,Muttom,10:18,10:20,975,44,53,3.2
31,1,R1000,3,23-09-2025,Midday,Kalamassery,10:22,10:24,975,30,65,0
32,1,R1000,3,23-09-2025,Midday,Cochin University,10:28,10:31,975,64,20,4.5
33,1,R1000,3,23-09-2025,Midday,Pathadipalam,10:34,10:36,975,15,53,0.6
34,1,R1000,3,23-09-2025,Midday,Edapally,10:39,10:41,975,32,65,0
35,1,R1000,3,23-09-2025,Midday,Changampuzha Park,10:44,10:45,975,77,9,7
36,1,R1000,3,23-09-2025,Midday,Palarivattom,10:50,10:53,975,33,62,4
37,1,R1000,3,23-09-2025,Midday,JLN Stadium,10:54,10:55,975,39,55,2.4
38,1,R1000,3,23-09-2025,Midday,Kaloor,11:00,11:01,975,68,31,6.2
39,1,R1000,3,23-09-2025,Midday,Town Hall,11:04,11:05,975,54,16,10.1
40,1,R1000,3,23-09-2025,Midday,M.G Road,11:07,11:09,975,7,31,7.6
41,1,R1000,3,23-09-2025,Midday,Maharaja's College,11:12,11:14,975,70,32,11.5
42,1,R1000,3,23-09-2025,Midday,Emakulam South,11:15,11:18,975,20,62,7.2
43,1,R1000,3,23-09-2025,Midday,Kadavanthra,11:18,11:19,975,46,9,11
44,1,R1000,3,23-09-2025,Midday,Elamkulam,11:21,11:22,975,39,31,11.8
45,1,R1000,3,23-09-2025,Midday,Vytila,11:25,11:27,975,35,48,10.5
46,1,R1000,3,23-09-2025,Midday,Thaikoodam,11:28,11:31,975,22,42,8.4
47,1,R1000,3,23-09-2025,Midday,Petta,11:32,11:35,975,62,66,8
48,1,R1000,3,23-09-2025,Midday,Vadakkekotta,11:37,11:40,975,57,48,8.9
49,1,R1000,3,23-09-2025,Midday,SN Junction,11:43,11:45,975,28,43,7.4
50,1,R1000,3,23-09-2025,Midday,Tripunithura,11:48,11:50,975,28,33,6.9
51,1,R1000,3,23-09-2025,Evening Peak,Aluva,16:00,16:01,975,196,71,12.8
52,1,R1000,3,23-09-2025,Evening Peak,Pulinchodu,16:05,16:06,975,83,96,11.5
53,1,R1000,3,23-09-2025,Evening Peak,Companypady,16:08,16:09,975,79,49,14.6
54,1,R1000,3,23-09-2025,Evening Peak,Ambattukavu,16:14,16:16,975,99,136,10.8
55,1,R1000,3,23-09-2025,Evening Peak,Muttom,16:18,16:19,975,188,98,20
56,1,R1000,3,23-09-2025,Evening Peak,Kalamassery,16:22,16:25,975,137,70,26.9
57,1,R1000,3,23-09-2025,Evening Peak,Cochin University,16:27,16:29,975,174,150,29.3
58,1,R1000,3,23-09-2025,Evening Peak,Pathadipalam,16:31,16:33,975,50,86,25.6
59,1,R1000,3,23-09-2025,Evening Peak,Edapally,16:35,16:37,975,179,134,30.3
60,1,R1000,3,23-09-2025,Evening Peak,Changampuzha Park,16:41,16:42,975,129,75,35.8
61,1,R1000,3,23-09-2025,Evening Peak,Palarivattom,16:44,16:45,975,129,57,43.2
62,1,R1000,3,23-09-2025,Evening Peak,JLN Stadium,16:50,16:52,975,82,48,46.7
63,1,R1000,3,23-09-2025,Evening Peak,Kaloor,16:53,16:54,975,44,149,35.9
64,1,R1000,3,23-09-2025,Evening Peak,Town Hall,16:59,17:00,975,105,68,39.7
65,1,R1000,3,23-09-2025,Evening Peak,M.G Road,17:03,17:06,975,58,94,36
66,1,R1000,3,23-09-2025,Evening Peak,Maharaja's College,17:06,17:09,975,77,46,39.2
67,1,R1000,3,23-09-2025,Evening Peak,Emakulam South,17:10,17:11,975,145,59,48
68,1,R1000,3,23-09-2025,Evening Peak,Kadavanthra,17:14,17:16,975,153,89,54.6
69,1,R1000,3,23-09-2025,Evening Peak,Elamkulam,17:20,17:22,975,38,55,52.8
70,1,R1000,3,23-09-2025,Evening Peak,Vytila,17:24,17:26,975,145,126,54.8
71,1,R1000,3,23-09-2025,Evening Peak,Thaikoodam,17:27,17:28,975,115,150,51.2
72,1,R1000,3,23-09-2025,Evening Peak,Petta,17:33,17:35,975,78,14,57.7
73,1,R1000,3,23-09-2025,Evening Peak,Vadakkekotta,17:38,17:41,975,174,127,62.6
74,1,R1000,3,23-09-2025,Evening Peak,SN Junction,17:41,17:42,975,195,23,80.2
75,1,R1000,3,23-09-2025,Evening Peak,Tripunithura,17:47,17:49,975,184,23,96.7
76,1,R1000,3,23-09-2025,Night,Aluva,20:00,20:03,975,45,26,1.9
77,1,R1000,3,23-09-2025,Night,Pulinchodu,20:05,20:08,975,33,36,1.6
78,1,R1000,3,23-09-2025,Night,Companypady,20:09,20:12,975,37,68,0
79,1,R1000,3,23-09-2025,Night,Ambattukavu,20:15,20:18,975,80,35,4.6
80,1,R1000,3,23-09-2025,Night,Muttom,20:19,20:22,975,31,14,6.4
81,1,R1000,3,23-09-2025,Night,Kalamassery,20:24,20:27,975,20,24,5.9
82,1,R1000,3,23-09-2025,Night,Cochin University,20:28,20:30,975,70,21,11
83,1,R1000,3,23-09-2025,Night,Pathadipalam,20:33,20:34,975,16,62,6.3
84,1,R1000,3,23-09-2025,Night,Edapally,20:38,20:41,975,13,48,2.7
85,1,R1000,3,23-09-2025,Night,Changampuzha Park,20:44,20:46,975,28,65,0
86,1,R1000,3,23-09-2025,Night,Palarivattom,20:48,20:49,975,44,5,4
87,1,R1000,3,23-09-2025,Night,JLN Stadium,20:54,20:55,975,29,44,2.5
88,1,R1000,3,23-09-2025,Night,Kaloor,20:57,20:58,975,38,67,0
89,1,R1000,3,23-09-2025,Night,Town Hall,21:00,21:01,975,6,42,0
90,1,R1000,3,23-09-2025,Night,M.G Road,21:06,21:07,975,69,41,2.9
91,1,R1000,3,23-09-2025,Night,Maharaja's College,21:10,21:11,975,37,41,2.5
92,1,R1000,3,23-09-2025,Night,Emakulam South,21:15,21:17,975,46,24,4.7
93,1,R1000,3,23-09-2025,Night,Kadavanthra,21:20,21:21,975,48,38,5.7
94,1,R1000,3,23-09-2025,Night,Elamkulam,21:23,21:26,975,54,68,4.3
95,1,R1000,3,23-09-2025,Night,Vytila,21:27,21:29,975,18,60,0
96,1,R1000,3,23-09-2025,Night,Thaikoodam,21:32,21:33,975,21,19,0.2
97,1,R1000,3,23-09-2025,Night,Petta,21:35,21:37,975,35,24,1.3
98,1,R1000,3,23-09-2025,Night,Vadakkekotta,21:38,21:41,975,37,26,2.5
99,1,R1000,3,23-09-2025,Night,SN Junction,21:41,21:44,975,27,38,1.3
100,1,R1000,3,23-09-2025,Night,Tripunithura,21:46,21:48,975,23,15,2.2
101,2,R1001,4,23-09-2025,Morning Peak,Aluva,07:00,07:03,1300,78,122,0
102,2,R1001,4,23-09-2025,Morning Peak,Pulinchodu,07:05,07:08,1300,60,77,0
103,2,R1001,4,23-09-2025,Morning Peak,Companypady,07:11,07:13,1300,31,26,0.4
104,2,R1001,4,23-09-2025,Morning Peak,Ambattukavu,07:14,07:15,1300,111,112,0.3
105,2,R1001,4,23-09-2025,Morning Peak,Muttom,07:18,07:19,1300,175,39,10.8
106,2,R1001,4,23-09-2025,Morning Peak,Kalamassery,07:23,07:26,1300,118,84,13.4
107,2,R1001,4,23-09-2025,Morning Peak,Cochin University,07:28,07:30,1300,199,144,17.6
